Column1;text
1464;был выбор общаги во вторую волну но я не успел выбрать меня автоматически перекинут в 3-ю волну или надо что то для этого сделать? ( все ещё не появилось разрешение на запись )
1465;ребят есть уже беседа факультета рекламы и связи с общественностью ? (очно-заочное) просто вообще ничего не знаю кто как и где
1466;"Можите добавить пожалуйста в беседу по ПД ""Аэропонная сити-ферма""?"
1467;Привет Подала документы на перевод из другого вуза на заочное 3 курс (реклама и связи с общественностью) на платноеСказали что информация по зачислению будет только после сентябрьской комиссииКто сталкивался с переводом какие шансы что зачислят ?
1468;Если уже получаешь стипендию за летнюю сессию но за зачет по практике который в сентябре ставят 3 то стипендия со следующего семестра слетает?
1469;НЕ АНОНДоброго времени сутокПри переводе на новый курс наша учебная группа столкнулась с неприятностью уволилась наша любимая преподавательница по физкультуре Сейчас размышляем к кому ходить на физру Можете подсказать кто из физкультурников(-щиц) просто так проставляет посещения и ничего не требует?  Просьба написать мне в лс
1470;Почему нужно выбрать 7 общежитие а не какой нибудь другой?
1471;есть люди из группы 231-362?
1472;"а когда будет заселение в общагу у второй волны? а то я чё-то сижу смотрю а никакой инфы нетув личном кабинете написано ""заявка на заселение"" и всё"
1473;Всем привет Есть кто с 1 курса транспортного дизайна? Отзовитесь
1474;"Приветик есть какая-нибудь беседа участников проекта ""Дизайн-студия ""ArtLab""""? Отзовитесь пожалуйста)"
1475;Группа 234-222 (магистратура) есть кто? Есть ли чат уже??
1476;Привет кто с издательского дела (очное)? Есть ли уже какая-то группа если нет то можем создать) Хочется уже со всеми познакомиться
1477;Приветствую кто либо из поступивших на машиностроение есть?( Конкретно  15030101) Знаете про беседы и тд?
1478;есть тут те кто выбрал ТепGlove в качестве ПД? пишите в лс добавлю вас в чат группыне 
1479;Привет есть кто из группы 211-451? Специальность 080501 Строительство уникальных зданий и сооружений (3 курс) Напишите мне в ЛС Ищу вас
1480;Есть ли беседа для тех кто поступил на Интеллектуальные системы управления счастьем? 
1481;Кто из группы 221-376? Можете в беседу добавить пожалуйста
1482;есть люди с группы 221-261?
1483;Всем привет Что делать после восстановления? У кого спрашивать? В ЛК указано что отчислен до сих порКто восстанавливался подскажите пожалуйста
1484;Подскажите есть ли какая-нибудь инфа про 1 сентября? Просто прийти в своё здание к 900? Если инфа есть то скажите пожалуйста где её посмотреть Спасибо
1485;Ребят привет Хотелось бы узнать есть ли те кто на системного администратора поступал в политех? Сам хочу поступить но не знаю на какую кафедру направление хз что конкретно (только в 11 перешел) Если есть те кто поступал (желательно не с 1 курса хотя их мнение для меня тоже будет важно) то отпишитесь пожалуйста Буду очень благодарен
1486;Есть ли беседа для тех кто поступил на Интеллектуальные системы управления транспортом?
1487;в этом году будет пост с поиском своих соседей по общаге или уже есть что-то подобное?( пожалуйста)
1488;Ребятесть у кого беседа 9 общежития?
1489;а есть кто-то из группы 221-442??? добавьте пожалуйста в беседу????
1490;?Народ есть ли возможность учиться на заочке или на очно-заочной форме и при этом получать диплом очника? Если да то как? Бакалавр ?
1491;есть ли тут студенты 2-3курса учащиеся на робототехнике 150304? можете написать в лс
1492;кто переводился из другого вуза в политех можете подсказать когда вам стал известен положительный результат от приемной комиссии??? АНОН
1493;Доброго времени суток Есть кто-нибудь с проекта «Развитие онлайн-образования»? Напишите в комментариях
1494;Здравствуйте Сегодня выбирать общагу посоветуйте какая общага будет получше 1 или 10?
1495;Ребяттакой вопрос Можно ли не ходить на физруесли есть абонемент в фитнес клуб?
1496;д Можно ли на магистратуре совмещать учебу с работой?
1497;доброго времени суток а не подскажите какая стипендия обычно у бакалавров здесь?
1498;Здравствуйте хочу спросить а как именно проходит заселение в общежитие?Мне просто в указанную дату нужно приехать в выбранное?А в какое время?У меня 6 общежитие дата заселени я уже есть - 0309 может я после подписания договора найма смогу узнать допинформацию?Расскажите кто знает( пожалуйста(
1499;Техносферная безопасность 200401 очно есть кто поступивший? Давайте скоопирируемся??
1500;01040201( програмная инженерия в автомобилестроении) магистратура Расскажите сильная ли загруженность по учебе? Реально ли совмещать учебу с работой? Нормальные ли преподаватели?
1501;Дистанционка Маркетинг Есть кто? Группа ОЗБМ-23091с-6 )
1502;"Всем добрый деньРассматриваю для поступления направление ""управление бизнес-системами (управление качеством)"" по квалификации магистратура заочная форма обученияС кем можно обговорить по поводу поступления и обучения? Пожалуйста отзовитесь"
1503;А если ты живёшь в комнате повышенной комфортности можно ли в самой комнате использовать мультиварку ? 
1504;Здесь кто-то заключал договор через Госуслуги? Есть пара вопросов
1505;Опубликуйте пожалуйстаПривет подскажите я подал документы на платную заочку какие теперь мои действия? Знакомство с куратором и группой или когда нужно явиться в Политех? Просто на сайте не могу никакую информацию найти по поводу дальнейших телодвижений((
1506;27040403 Управление в технических системах Высокоавтоматизированные транспортные средства Есть кто?(Магистратура)
1507;Подскажите в общагах коридорного типа места общего пользования (туалет и душ) кто убирают? Студенты или персонал  Пж
1508;Ребят подскажите к кому обратиться по поводу общаги? Хочу заселиться в 1 Спасибо за ответ
1509;Привет есть кто из группы 212-822?Добавьте пожалуйста в ваш чат у вас пополнение
1510;привет а есть беседа для первокурсников книгоиздательства(платка заочка)? если нет то поставьте плюсы кто поступил????
1511;Есть ли в 1 общаге девушки из одноместных кпк которые хотели бы переселится в двухместное? (Ну вдруг ахах меньше платить все дела) Хотелось бы попробовать поменяться 
1512;Трудно ли учиться в маге и работать одновременно? Сильная загруженность по занятиям? 
1513;Привет Есть кто из группы 221-511 2 курс? Добавьте в чат группы пж У вас пополнение
1514;У кого был опыт большой досдачи разницы можете поделиться? А то сказали что придётся досдавать 11 предметов за 3 месяца не уверен что потяну
1515;Если переводиться с платки на бюджет переведут в другую группу или в своей остаёштся? 
1516;Здравствуйте как понять одобрили ли общагу?
1517;есть какая-нибудь беседа для поступающих?либо отпишите кто в этом году поступает на рекламу и связи
1518;Всем привет У кого преподавала экономику Губанова Н В? Сложно? Как экзамены принимает?
1519;ПриветСтуденты и выпускники поделитесь пожалуйста впечатлениями по магистратуре 090402 (Мобильные технологии) и магистратуре в ФИТе в целом? Насколько актуальная программа адекватные преподы сильно ли мучают по учебе как ситуация с совмещением с работой особенно если работаешь фултайм?
1520;Есть ли беседа кто поступил на Интеллектуальные системы управления транспортом?
1521;Можно ходить в кроксах?
1522;Возможна ли сейчас дистанционная форма обучения в политехе?
1523;подскажите пожалуйста какая справка нужна для физры? 086-у или какая-то другая форма? плиз
1524;Здравствуйте подскажите пожалуйста сложные ли вступительные испытания?
1525;Кто в том году выбирал общагу во 2 волну? Поделитесь впечатлениями…
1526;Ребят подскажите пожалуйста стирка в 4 или 5 общежитиях платная?
1527;Когда обычно пересдача летней сессии и где посмотреть график?
1528;никто не знает когда будет комиссия по переводу из другого вуза в этом году? 
1529;Розгачева Ирина Кирилловна - математика Можно инфу по преподу? Как ведет как принимает зачет? Что по посещаемости? 
1530;Подскажитебудут какие-то мероприятия для первокурсникам?Может посвящение?
1531;как обычно проходит посвят первокурсников? отличается ли он у разных институтов?
1532;Всем здароваЕсть ингуши тут можете отписать?
1533;"Есть ли те кто поступил или учатся в магистратуре на ""Системах управления информационной безопасностью""? буду благодарен за информацию по обучению поступлению"
1534;Хай есть ли беседа для поступивших на очное на 090301 или 090302?Напишите в лсНе 
1535;Как в Политехе обстоят дела с пауэрлифтингом а то видел что есть секция но просто стало интересно на сколько она жива и как функционирует? Если кто может вкратце расписать то может в личные сообщения? Не  пожалуйста
1536;"Всем приветЕсть пара вопросов по программе ""Системная и программная инженерия""1) Получается ли совмещать учебу на первом-втором курсе с работой/подработкой? (напишите сколько часов в неделю работаете если получается)2) Публикуются ли где-нибудь материалы с лекций для самоподготовки? (получится ли систематически или хотя бы изредка прогуливать?)"
1537;всем привет) кому можно задать вопросики про обучение на управление персоналом на заочке?) 
1538;ПриветЕсть ли у кого опыт перевода на 3-4 курсах по специальности дизайн их другого вуза? Направление не меняю но в своем вузе училась на дизайне среды тут хочу перевестись на графический дизайн (540301 очно-заочное)У кого был такой опыт или похожий - рада буду пообщаться Отпишитесь ниже пожалуйстаВсем добра)
1539;Ку что с волейболом у политеха? Он там жив? А то на сайте последние записи от 21 годаПоступил только хочу за политех играть туда сюда а инфы особо и нету(Может кто знает?
1540;ПриветствуюЕсть ли поступившие из Коломны?
1541;Привет Есть ли беседа поступивших на 1 курс на графику?
1542;Как проходит экзамен у Султановой ЮМ? 
1543;Журналисты платники есть ли уже какая то беседа для поступивших?
1544;Приветик подскажите есть ли беседа Радиотехников заочников????
1545;Здравствуйте Есть ряд вопросов заранее спасибо за ответы 1) Сестра поступила на платку на дизайн и до сих пор не пришло письмо о зачисление Подскажите у Платников оно приходит после оплаты или как??? И как лучше всего оплачивать обучение?2) При заполнении заявление на платку на сайте поставили галку на пункте «нужна общага» но там никто не спросил какая именно Что бы выбрать желаемую общагу надо какое-то другое заявлении писать? И вообще то что мы ее выберем имеет значение? Или они потом все равно засунут куда получится??3) Корпус дизайнеров находится на Михайловской рядом общаги 5 10 и 4 Какую выбрать Карл??
1546;Всем привет Есть беседа поступивших на рекламу и связи с общественностью (заочно)?Если нет давайте создадим
1547;Всем доброго здравия кто на 110301 (радиотехника) ? Тяжело учиться? Хочу работать пар тайм если уж фуллтайм не получится
1548;Дают ли академический отпуск на платном обучении из-за невозможности оплатить ? Долги отсутствуют 
1549;Тупейшие вопросы на которые требуется ответ знающих людей- Даются ли магистрам на платном общежития если да то какие?- Ограничено ли количество платных мест на направлениях (на сайте указано что да (14 на интересующие направления) но информацию от людей слышал что количество мест просто расширят при необходимости зачисления всех желающих)?- В случае провала на вступительном экзамене на направление при конкурсе на бюджет (недобор до 40) можно ли пересдать экзамен при зачислении уже на платную основу? пожалуйста
1550;Подскажите при заселении пускают родителей в общежитие? Комнату посмотреть
1551;Всем приветПоступившие на дизайн и мультимедиа 2023 имеется ли у вас беседа или стоит ли ее создать?Хочется познакомиться и начать уже контактировать с будущими однокурсниками
1552;Поступаю на 1 курс на рекламуне могу в личном кабинете заполнить «Сведения для поступивших»после сохранения сбрасывается у кого такая же проблема?Как ее решить?
1553;А есть какие-то точные сроки когда опубликуют расписание для 2-4 курсов? 
1554;Если какой-то чат поступающих в магистратуру?(гоночный инжиниринг)
1555;а в общежитиях есть wi-fi?
1556;Кто знает есть ли беседа для поступающих на рекламу в магистратуру?
1557;Всем привет поступаю на 1 курс на специальность дизайн и конструирование рекламных арт-объектов (Технология художественной обработки материалов) Есть те кто отучился первый год? Есть вопросы по обучению
1558;Возможно ли совмещать учебу и работу по вечерам сразу с 1ого курса на факультете информационных технологий? 
1559;Добрый день Подскажите пожалуйста какое общежитие лучше выбрать? Будем учиться на Прянишникова
1560;Привет подскажите пожалуйста  есть ли беседа для поступающих на рекламу в магистратуру?????
1561;Есть кто планирует снимать/ снимает квартиру и ищет соседа? Девушка Найду по лайкам
1562;Хочу перейти на очно-заочное обучение  Кто уже учится так скажите как лучше ?
1563;Всем привет Поступаю в магистратуруподал документы жду экзамены Сейчас решил посмотреть списки абитуриентов подавших документы и возник вопрос Почти у всех прописано идёт на экзамен а напротив меня пусто почему?
1564;Всем приветСегодня (1108) была консультация по вступительным экзаменам в магистратуру К сожалению пропустила Кто-нибудь может рассказать что было?В особенности направление гоночный инжинирингЗаранее спасибо
1565;Добрый день есть беседа по рекламе и связи с общественностью (1 курс очно)?
1566;Переводился ли кто-то с другого университета после 1 семестра? Есть пара вопросов
1567;поступил в этом году кто с Марий Эл / Чебоксар? 
1568;Есть кто поступает или поступил на очно-заочное на специальность 380301 экономика предприятий и организаций? Хотелось бы задать пару вопросовНапишу в лс
1569;Призываю журналистов расскажите как оно?
1570;Есть кто-нибудь из Брянска?
1571;[]У кого-то был опыт перехода с одного факультета на другой? Если да то что помимо сдачи дополнительных экзаменов на специальность требуется?
1572;Можно ли как-то закрыть задолженность по физре за 2 семестр прошлого курса во время 1 семестра нового курса?
1573;[]Когда в личном кабинете абитуриента будет дан выбор общежития? У остальных эта функция есть?Указывал в заявлении что общага нужна
1574;Подскажите пожалуйста кто после колледжа поступал по той же специальности Есть ли сокращение в обучении? Если да то сколько (иду на рекламу звонка)
1575;Друзьяподскажите есть ли у нашего вуза футбольная команда(мини футбол или обычный)?
1576;????Может здесь есть кто-нибудь кто поступил в этом году на техносферную безопасность? Отпишитесь в комментариях)
1577;Переводился ли кто-то с Транспортного факультета на Факультет информационных технологий? Интересно узнать возможно ли это сделать
1578;Где в основном проходят занятия группы 23050104 (Компьютерный инжиниринг в автомобилестроении)? Просто слышал что у других студентов занятия часто были не на Электрозаводской а на вднх…
1579;Расскажите про комнаты повышенной комфортности или отпишите в комментах кто может поделиться инфой о них в лс стоят ли они своих денег за плату? когда в общем откроется опция выбора общежития? (про седьмую общагу тоже можно рассказать)
1580;Всем привет что нужно брать с собой в общагу? (В плане постельного белья покрывала и тд)
1581;Кто нибудь поедет из Читы ?) Отпишитесь в комментах АНОНИМНО
1582;Есть те кто учатся в магистратуре на связи с общественностью и автоматизации производства? Отпишитесь в комментариях пж Есть для вас коммерческое предложение
1583;кто учится 090303 как вам??
1584;Есть кто с направления Информационные технологии управления бизнесом 090303 В каких учебных корпусах пары проходят?
1585;КуПоступил на теплоэнергетику и теплотехнику собираюсь заниматься волейболом На сайте написано что занятия по волейболу на Михалковской 7Насколько реально попасть в 5 общежитие и есть ли разница в учебных корпусах?
1586;когда принимается решение комиссии по переводу из другого вуза?
1587;Всем приветАбитуриент в поиске места проживания никто не хочет напополам снимать хату?(отпишите в комменты)
1588;Всем привет Подскажите пожалуйста какую общагу лучше выбрать если учишься в корпусе на ул Павла Корчагина? И есть ли какие то ограничения по времени для входа в общагу Можно ведь попасть в общагу придя в любое время даже поздно ночью?
1589;Кто поедет в начале сентября в Политех из Башкирии? Пишите - давайте объединимся ??
1590;Поступаю на Энергетическое машиностроение Транспортный факультет Старшие с этого направления подскажите пожалуйста какие у вас были предметы на первом курсе в каких корпусах?
1591;Всем привет Сложно ли сдавать вступительный иностранный экзамен для поступления в аспирантуру?В целом сложно ли поступить в аспирантуру на платку?
1592;Подскажитеа как дается общежитие ?Его можно выбрать?Хочу восьмое Корпус на Павла Корчагина
1593;У кого можно узнать про направление 15030101 (машиностроение)?
1594;Ребят хочу спросить насчёт общаги Те кто живёт в корпусе который находится на ул Павла-Карчагина Нет ведь никаких запретов на вход в общежитие в позднее время? Имею ввиду если придти в общагу поздно вечером или ночью могут ли возникнуть какие-либо проблемы с входом? Есть ли какой-то определённое график по которому нужно успеть попасть в общагу? В какую общагу впринципе лучше заселиться если обучаешься в корпусе на Павла-Карчагина?
1595;Абитуриентам привет Отзовитесь в комментариях кто проходит на интеграцию и программирование в САПР И хотелось бы узнать от тех кто там учится занятия проходят только в корпусе на бс или могут закинуть на другие станции? 
1596;Поступаю на дизайн рекламных и арт объектов выбираю между 1 и 4 общагой какие подводные? Какая общага лучше?
1597;Всем Привет)Никто не ищет себе соседа на подселение ?АНОН
1598;Рассматриваю для поступление на заочку 090301 и 090302 с кем можно пообщаться по этому поводу?
1599;Здравствуйте подскажите пожалуйста как проходят занятия по рисунку и живописи у графдизайна? Какие краскибумагу карандаши покупат? Нужен ли подрамник?
1600;всем доброго денечка есть ли какая-то беседа с заочниками (реклама и связи с общественностью)?
1601;Что предлагаете на счёт общежития какое выбрать чтоб всё было норм?
1602;Кто учится на 010302 Интеллектуальные системы управления транспортом? Расскажите что как вообще пожалуйста И насколько сложно перевестись на другое направление?
1603;Где обычно проходит обучение на информационной безопасности ?
1604;"Как происходит выбор профиля на направлении ""информационные системы и технологии""? Какие услови нужно соблюсти чтобы иметь возможность выбирать? Есть ли какие-то ограничения по местам на профилях? На сайте просто сказано что выбор происходит в мае мол к этому времени большинство студентво определяется с профилем Заранее спасибо"
1605;Есть ли общий чат для абитуриентов на данный момент?
1606;Поступаю на журфак В каком корпусе чаще всего проходят занятия? В какую общагу лучше заселиться в этом случае?
1607;Здравствуйте Кто может рассказать про учебу на графическом дизайне? бакалавр/очно
1608;Добрый день Как проходят вступительные? Тест или ответы по билетам?
1609;Кто обучается на Прикладная информатика (Большие и открытые данные) (09030302) ? С кем можно проконсультироваться?
1610;Привет Можно перевестись с граф дизайна на анимацию?
1611;Привет Расскажите про радиотехнику и строительство уникальных зданий и сооружений Как учиться на этих направлениях? Какое образование даётся в целом? Общежитие легко получить?
1612;Что посоветуете купить 1 курсу ИТ для учёбы и в общагу?
1613;Есть ли тут те кто учится на очном по специальности «Издательское дело» и живёт в общежитии? Расскажите пожалуйста подробнее об учёбе и студенеческой жизни
1614;Добрый день Политех Ситуаци заключается в следующем я по болезни пропустила экзамен по последнему предмету в период летней сессии Справка(больничный лист) имеется документально потвержденный писала заявление на продление сессииВопрос когда обычно ставят пересдачу(по уважительной причине) по причине болезни? Летом или осенью? Как быстро реагирует ЦРС на данное обращение? В каком формате могут поставить пересдачу(или дополнительный срок) для сдачи экзамена? Может у кого-то был опыт? Заранее благодарю за ответ
1615;Абитура по какому принципу выбираете направление?
1616;А тип если почти не ходить на пары то сколько проживет мое имя в списках группы?
1617;Правда что с этого года можно заселиться в 11 общежитие? Как можно посмотреть информацию?
1618;Кто готов рассказать про учебу на биотехнологии 190301? Я хочу перевестись на 3 курс Откликнитесь
1619;Добрый вечер Возможно ли перевестись на информационную безопасность с киберфизических систем (ивт)? 
1620;Всем привет Кто знает какого числа начинается заселение в общежития?
1621;Магистры у вас можно учиться очно и работать на полставки/полную ставку? д
1622;ребята с направлений1 Информационные технологии в медиаиндустрии и дизайне (Информационные системы и технологии)2 Веб-технологии (Информатика и вычислительная техника)3 Информационные технологии управления бизнесом (Прикладная информатика) подскажите где у вас проходят пары в течение недели? В основном корпусе или каких-то других?
1623;Где проходит обучение на техносферной безопасности у 1 курса? На сайте написано на автозаводской но тут говорили первокурсников часто по другим корпусам водят
1624;расскажите про учебу на этих направлениях какие там преподы тяжело ли учиться и в каких корпусах в основном проходят пары?38030201 Менеджмент (Управление бизнес-процессами) 290303 09030303 информационные технологии управления бизнесом 380301 Экономика (Экономика предприятий и организаций)  могу сама в лс написать
1625;Ребят знает кто дается ли отсрочка от мобилизации на очно-заочной форме обучения ?
1626; У кого-нибудь сохранились приказы о зачислении? Скиньте плиз Нужна магистратура и бюджет
1627;Всем привет Планирую поступать на направление менеджмент На очном отделении как обстоят дела с тем чтобы совмещать учёбу с работой? Сколько в день обычно бывает пар и до скольки часов длятся занятия в среднем? И сколько остаётся послеучебного времени?
1628;Всем привет Планирую поступать на магистратуру на графдиз есть кто-нибудь кто тоже поступает в этом году или уже учится на данном направлении? Хотелось бы пообщаться
1629;"Как работает рейтинг абитуриентов на сайте? Если фильтровать по абитуриентам с оригиналом список на 32 человека при 50 бюджетных (появляется оптимизм что проходишь) А снизу написано ""Оригиналов 200+"" Почему они не отображаются в списке?"
1630;Как дела с юмором в этом вузе?
1631;Ребята-студенты посоветуйте пожалуйста что стоит купить для 1 курса? Много ли нужно тетрадей?
1632;Всем привет Расскажите какая стипендия у магистров?
1633;По сколько человек в комнате(общага)? Что вообще скажете по поводу общаги?
1634;Подскажите есть ли бесплатная парковка для студентов около уника?
1635;Сколько стоит общежитие? И как условия?
1636;"Всем привет интересует специальность ""Реклама и связи с общественностью"" Какого учится на данном направлении? В каких корпусах/корпусе обучаетесь?"
1637;Братья как считаете с 263 баллами есть какая-никакая вероятность пройти на бюджет на издательское дело?
1638;Привет собираюсь поступать в политех Расскажите пожалуйста про направление 090302 Сложно учиться? Как преподаватели? Кстати какой конкурс на общежития? Дают ли его платникам из Реутова? Какое общежитие лучше выбрать? Как получить комнату повышенной комфортности? Какая стипендия? Как пользоваться поиском по записям сообщества? Пишите в лс 
1639;Всем привет вполне реально получит общежитие с 170 баллами?
1640;Расскажите пожалуйста сколько места под вещи даётся в общежитии? Хватает ли чтобы уместить всю одежду?  пожалуйста
1641;Привет расскажите пожалуйста про факультет информационных технологий Как преподаватели? Сложно ли учиться и насколько хорош уровень обучения?
1642;Всем привет Планирую поступать в этом году Подскажите пожалуйста есть ли какие-то стипендии для обучающихся на платной основе? Совсем ничего не знаю про это но интересно узнать)Спасибо
1643;Привет кто-нибудь знает как распределяются места общежитии? Кто в какое попадает? Это рандом или зависит от направления?
1644;Добрый день как проходят занятия по физкультуре? сильно ли гоняют и заставляют сдавать нормативы?Сколько раз в неделю занятия?
1645;Реально ли перевестись на 1 курс магистратуры одного из направлений ИТ в середине осени из университета другого города?
1646;Почему у первого курса учеба начинается 15 числа? Что делают эти 2 недели
1647;Расскажите пожалуйста про стипендию Ее можно получать с 1 семестра? И в каком размере?
1648;Добрый день) у меня вопросик как вы думаете какова вероятность что платнику могут дать общагу? Наслышана что практически невозможноСпасибо ??
1649;Добрый деньМожно ли платить по месяцам при платном обучении или только оплата за семестр?
1650;Можно переводиться в другой университет после 1 семестра?
1651;ПриветМожете сказать дают ли общагу платникам?
1652;Всем здравствуйте Посоветуйте общежитие квартирного типа и как туда попасть?
1653;Всем привет Кто учится на техносферной безопасности расскажите как вам?
1654;Доброго времени сутокМожет ли кто-то рассказать как проходит учеба по специальности 110301 радиотехника? Стоит ли выбирать это направление?
1655;Всем привет Есть ли тут кто учится на графическом дизайне и приехал из другого города? Очень хотелось бы узнать о том как вы учитесь чему обучаетесь о нагрузге общежитии и тд А кто-то с направления Технология художественной обработки материалов? Не  напишите в личку пожалуйста??Заранее спасибо ??
1656;Всем привет собираюсь переводиться к вам на 2 курс на 090302 Программное обеспечение игровой компьютерной индустрии либо на 090301 Веб-технологии Есть ли кто-то с опытом перевода в политех из другого вуза (необязательно эти направления)?
