,text
5102,Ну это понятно нужно ли все что указаны на сайте (прививочный справка из диспансера тест на Вич флюрография) или просто справку по форме 86?
5103,Подскажите сколько примерно пар в день на управление бизнес процессами?
5104,Привет знаете какие документы нужны для заселения в общагу?
5105,Что нужно сделать чтобы тебя перенесли со второго потока на третий?Я про сдачу вступительных
5106,Ребята кто писал резерв по инфе результаты у вас пришли?
5107,Добрый вечер подскажите результат на сайте СДО что отображает?
5108,А по сколько обычно пар в день? Инф технологии интересуют
5109,Во сколько кстати по времени начинается первая пара? И всегда ли с первой?)
5110,Там даже БВИ больше чем бюджетных мест как их будут делить???
5111,Как это? Если мест бюджетных 16 из них 2 целевых 2 отдельная квота 2 особая квота то есть из 16 вычесть 6 вычесть БВИ остальное общий я так понимаю?
5112,Здравствуйте в 5-ом общежитии есть столовая?
5113,Подскажите что это появилось в рейтинге? У меня 351 балл кто то на втором месте но заявка Да как узнать подавались на работа в России на целевое это что значит заявки у нас нету???
5114,Здравствуйте как подать аппеляцию и можно потом посмотреть что не так в тесте было?
5115,Хотя в рейтинге он стоит первый это значит всё целевое в пролете если да не стоит?
5116,Может кто подсказать где можно найти образец согласия родителя на заключения договора найма комнаты в общежитии я искал на сайте не смог найти?
5117,Что значит код конкурсной группы? Я так понимаю это целевое почему у кого то стоит заявка да а мы подавали через сайт работа в России заявка не стоит?
5118,А если пропустил звонок из приемки то уже не перезванивать? Или на почту им написать?
5119,Кто сдавал ВИ  в вас у всех тут 0?
5120,Рейтинг работает? Пишет что ошибка сервера
5121,Добрый вечер  мне звонили из вуза  но я не слышала перезвонят ли мне ?🙏
5122,Очередной вопрос от отчаявшегося абитуриента Конкурсные группы через ЕПГУ можно добавлять до 25 июля включительно? До скольки часов?
5123,А где нам его в селе взять?🥹🥹 У нас таких нет врачей даже
5124,А почему тогда 086/У не подходит? Там же есть заключения всех врачей и печати
5125,И подойдёт ли справка медицинского осмотра для поступления в вуз формы 086/У? На сайте просят справку из кожно-венерологического диспансера но у нас в местной больнице такого нет В общем медосмотре есть и подпись дерматолога и результаты флюорографии и анализы крови Подойдёт ли эта справка?
5126,Подскажите пожалуйста до какого числа нужно прикрепить медицинские  документы для заселения в общежитие??
5127,По поступлению? Список поступивших (общий конкурс) будет лишь числа 9+-
5128,Разве 23го не должны быть результаты?
5129,Здравствуйте Почему в списке абитуриентов не отображаются результаты по одному предмету причем на всех выбранных специальностях хотя итоговые баллы верны?
5130,Есть примеры которые будут на экзамене?По типу тестового варианта?(Математика и информатика)
5131,а что из себя вообще представляет социальная помощь?
5132,Здравствуйте а нормально что в ЛК в наборе вступительных испытаний первым приоритетом указана физика если я сдавала инфу? В результатах ВИ учтена инфа но вот в наборе испытаний почему-то физика
5133,Еще вопрос по поводу экзаменав заданиях с развернутым ответом пишется все от руки потом просто высылается скан на проверку?
5134,https//mospolytechru/postupayushchim/priem-v-universitet/vstupitelnye-ispytaniya/?ysclid=lyyftuq8si588191508  6 пункт в таблице
5135,Здравствуйтегде можно увидеть демо-версию вступительного экзамена или задания которые будут на нем?
5136,Здравствуйте меня зовут Алексей я поступаю в Политехнический институт Я поступаю на заочное дистанционное отделение - я иду на бюджет Я подавал заявление в вуз и на прохождение вступительных испытаний с помощью гос услуг В госуслугах было написано что в августе будут экзамены сдавать те люди которые поступают на заочное отделение и на бюджет Дело в том что я только сегодня узнал от ваших коллег что сегодня последний резервный день сдачи экзаменов для бюджетников которые будут заочно учиться В итоге я сегодня с трудом с 16 раза смог ввести правильно пароль для того чтобы зайти в личный кабинет и начать сдавать экзамены Я успел сдать 3 экзамена общую историю литературоведение русский язык Потом я позвонил в отдел кадров и сказал я зашёл на тестирование и сдал экзамены но сайт не просил включить камеру и микрофон Мне сказали что нужно было включить камеру для того чтобы связаться с руководителем и показать ему паспорт для того чтобы пройти идентификацию Хотя меня никто не ввёл в курс дела и мне никто не говорил что нужно включать камеру и  что нужно установить контакт с главным Мне посоветовали обратиться в приёмную и связаться с вами в телеграме Позвольте задать вопрос мои результаты будут учтены?
5137,Здравствуйте У моего друга последний экзамен был 19072024г результаты 2 экзаменов есть а на счёт 3 экзамена ответ не выставлен (идет на экзамен) скажите пожалуйста это что означает типо нужно идти повторно на экзамен?
5138,Здравствуйте можно ли как-то проверить все ли документы для общежития успешно загрузились и сохранились?
5139,Назрел ещё вопрос Известно что можно перевестись с платки на бюджет А возможно ли перевестись с заочного обучения на очное будь то заочное платное или бюджет?
5140,Здравствуйте скажите пожалуйста если я подавала документы через госуслуги мне нужно тоже самое повторить в ЛК чтобы добавить справки для предоставления общежития?
5141,А в Политехе есть какая-то система рейтинга студентов?
5142,Сегодня отвёз оригинал скажите пожалуйста когда это отобразится в рейтинге?
5143,А все остальные льготники?  Для них ниже балл?
5144,Где можно результаты конкурса посмотреть?
5145,ТАРАКАНЫ ВО ВСЕХ ОБЩАГАХ? только не это😭😭😭
5146,Приветствую а физику кто нибудь сегодня пересдавал ? Не могу найти тесты
5147,Здравствуйте мне пришло вот это письмо но в этом разделе «Заселение в общежитие» нету подразделение для того чтобы указать дату заселение и приоритетность общежития Что теперь делать и как с этим быть?   Времени дается всего 4 дня до 25 июля уже 23 июля и до сих пор ничего нет Подскажите что делать спасибо
5148,до какого числа можно подать оригинал на бакалавриат очно бюджет?
5149,Добрый день Выбор приоритетов на общежитие ещё не открыли?
5150,Здравствуйте а прививочный сертификат это и есть справка 086?
5151,Здравствуйте возможно буду поступать в ваш вуз не могли бы вы подсказать со скольки баллов заселяют в  общежитие а также всем ли целевикам предоставляют общежитие?
5152,Разве оригинал нужно приносить потом? Если через госуслуги подан
5153,Вы имеете в виду медицинские документы? Сохраните их на всякий случай но главное их загрузить в Личный кабинет
5154,Подал оригинал в электронном виде через гос услуги печатный можно донести по приезду в общежитие?
5155,В каком корпусе пары у журналистов?
5156,Добрый день До 25 числа нужно загружать документы как и тем кто на бюджет так и тем кто на контракт?
5157,Результаты 9 а выбор примерно когда начнется?
5158,А договориться  чтобы жить с другом в одном комнате ? Всего 2 балла различия между друг другом (приоритеты одинаковые)
5159,Можно выкупать место соседа/соседей по комнате?
5160,То есть ближе к сентябрю я могу и привезти его?  Никакие другие документы не требуются больше?
5161,Здравствуйте Такой вопрос Если у меня стоит галочка на госуслугах о том что я подаю оригинал аттестата в политех и не собираюсь ее убирать нужно ли аттестат или какие-то другие документы привозить лично в вуз? Если да то до какого срока нужно всё привезти?
5162,подскажите пожалуйста а при зачислении на бюджетную основу когда можно будет привезти пакет документов и где можно глянуть список этих доков?
5163,Добрый день я сдал все вступительные испытания и хотелось бы узнать когда будут окончательные списки поступивших и когда можно будет приносить оригиналы документов на поступление?
5164,А медаль можно получить без аттестата с отличием?
5165,Кто нибудь знает до какого числа нужно загрузить документы для общежития?  Буду рад вообще любой информации насчёт ощежития
5166,за золотую медаль теперь 5 баллов дают?
5167,А как состояние общих территорий? Кухни? Много тараканов?
5168,Здравствуйте я поменяла приоритеты направлений вчера днём на госуслугах и на данный момент в конкурсных списках мои приоритеты не обновлены В ЛК мосполитеха тоже обновлений по приоритетам нет Что делать? Как долго это будет обновляться? Времени мало осталось переживаю за это😓
5169,10 может быть как и блочной так и коридорной  правильно?
5170,А основной корпус на Прянишникова?
5171,Выбираю между 4 5 и 10 общежитием какое лучше?
5172,а уточнять по стипендии будешь ?
5173,У вас есть необходимые по списку результаты медицинских обследований?
5174,У меня такой вопрос все для общежитие меддокументы подают  а у меня патент есть при подаче в заявки в патент проходили все виды медпроверки могу ли я их подавать?
5175,"Возникла проблема я не могу указать свой адрес полностью каждый раз при сохранении анкеты графа ""улица"" просто удаляется+пыталась убрать галочку из графы ""не нашел свой адрес в адресном классификаторе"" — она не убирается После последнего сохранения сайт вообще отказывается что-то менять тк ""после проверки модератора"" Что делать и нужно ли что-то делать? Скан страницы с пропиской из паспорта к анкете вроде прткреплен по крайней мере не слетает после обновления страницы"
5176,Государственная социальная стипендия   Как получать социальную стипендию?  Быть гражданином РФ Учиться на очной форме Учиться на бюджете Учиться на бакалавриате специалитете или в магистратуре Размер стипендии 3 000 рублей  Назначается следующим категориям студентов  Дети-сироты и дети оставшиеся без попечения родителей Дети-инвалиды инвалиды I и II группы инвалиды с детства Пострадавшие в результате аварии на Чернобыльской АЭС и других радиационных катастроф Инвалиды или ветераны боевых действий Получающие государственную социальную помощь  Повышенная государственная социальная стипендия  Размер стипендии12 000 рублей Назначается студентам 1 и 2 курсов бакалавриата и специалитета назначенных на государственную академическую стипендию по итогам промежуточной аттестации  Необходимо учиться без оценок «удовлетворительно»
5177,А это для какой-то льготы? Или вам интересна соцстипендия?
5178,У кого еще не доступен экзамен по математике в СДО?
5179,возможности выбрать общежитие пока ещё нет верно?
5180,Подскажите почему экзамен по математике недоступен?
5181,Вы пробовали прикрепить по одной справке?
5182,всем привет  кто-то сталкивался с этим? не могу уже 5 дней прикрепить
5183,Подскажите пожалуйста справки загружать для общежития сканировать обязательно или можно сфотографировать?
5184,Доброе утродля общежития в справке от венеролога что должно быть ? Вич и сифилис можно просто анализы приложить?
5185,Подскажите А резервные дни для ви только онлайн проходят или могу пойти на и очно сдавать?
5186,Здравствуйте я загрузил справки для общежития в лк но они так и не появились в нем как понять приняли ли их?
5187,данных о паспорте и фото не хватит? обязательно ли добавлять фото прописки и 19 страницы? как понять что сделал все правильно по документам?
5188,Здравствуйте Подскажите пожалуйста 28 июля будет официальные список поступивших который уже не будет меняться по рейтингу или позже? (Бюджет)
5189,Всмысле? Забрать документы из ВУЗа А с бюджета и переложить в некий ВУЗ Б на платку?  Зависит от ВУЗа Б но на платку документы вроде принимают до середины августа и это не перекладывание а просто подача документов в новый ВУЗ
5190,Подскажите А резервные дни для ви только онлайн проходят или могу пойти на и очно сдавать?
5191,Кто нибудь знает могу ли я после 25 июля переподать доки с бюджета на платку(в другой вуз)?
5192,Подскажите как изменить приоритетность факультетов ?
5193,Почему-то в лк просит опять загрузить документы а предыдущие в статусе приняты на модерацию Это нормально? Не нужно грузить больше доки на общежитие? Или что-то не так?
5194,А просто через неделю например можно забрать?
5195,Подписала договор на обучение сказали забрать 2 экземпляр через 3 дня Может ли мама забрать его?
5196,А когда появится выбор общаг то? Уже 22 заканчивается
5197,документ подтверждающий адрес это что?
5198,кто договор заключал? какие сканы нужны?
5199,А ты на сколько русский написал?
5200,А что за иностранцы? Мы из РБ и не хотелось бы жить чисто с иностранцами…
5201,В лк в разделе заселения или на почту не знаешь случайно?
5202,А уведомят о том что все справки корректны или же нет?
5203,А доступ вообще сегодня будет или уже перенос на завтра?
5204,Добрый вечер  До какого числа можно забрать оригинал из вуза для переподачи?   Нельзя ли каким-то образом точно узнать факт поступления/непоступления до 28(в моём случае) числа чтобы не уйти/остаться зря  До какого числа можно добавить/удалить конкурсную группу (Перейти на заочку направления куда уже подан оригинал например)?  Спасибо
5205,Подскажите какие общежития находятся не далеко от института издательского дела и журналистики?
5206,Подскажите пожалуйста уже доступен выбор общежитий в личном кабинете?
5207,То есть если по обычному рейтингу я на 1300 месте а по реального я на 4 значит у меня неплохие шансы поступить?
5208,Подскажите пожалуйста что такое реальны рейтинг в списке абитуриентов?
5209,здравствуйте вы не подскажете как проходит заселение в общежитие в октябре?
5210,а в пк можно узнать как происходит заселение в октябре?
5211,а как оно проходит? я могу сентябрь где-то пожить и потом мне с теми же справками нало обращаться после 1 октября?
5212,Общежития делятся по половому признаку?
5213,Еще вопрос  как выбрать общежитие если поступаем на инноватику?
5214,Добрый день  По поводу справки для общежития в кожвендиспансере не ставят нам номер и серию справки говорят что они не номерные в нее же вписан результат на ВИЧ Можно ли как-то без номера справки?
5215,то есть если я принесу их при заселении то не пройдет у меня так?
5216,здравствуйте подскажите пожалуйста до какого числа можно прикрепить справки для общежития?
5217,А этот проходит по баллам на первую значит он поступит на неë?
5218,Добрый день Подскажите как сменить приоритетность направлений? Я подавала документы очно
5219,А когда кстати начнут зачислять?
5220,То есть по сути нужно ориентироваться на реальный рейтинг? Ну и на часть людей со вторым приоритетом да?
5221,А если оригиналы поданы но приоритет не первый то что это означает? Эти люди в принципе в Институт документы подали или конкретно на данную специальность?
5222,А где именно? Не могу найти в личном кабинете
5223,Подскажите пожалуйста а приоритеты на общежитие ставятся когда?
5224,а до 25 включительно нужно? то есть можно будет 25 утром? я тогда смогу заселиться в общежитие в сентябре?
5225,Подскажите пожалуйста ничего страшного если я справки на общежитие предоставлю позже 25 июля? Мне анализы не успевают прийти
5226,Всем привет кто нибудь учится на менеджменте?
5227,подскажите что значит реальный рейтинг? я под номером 1018
5228,Здравствуйтеподскажите пожалуйста Сдавал вступительные экзамены(Русский математика и физика)  Русский и математика были оценены физика до сих пор не оценена(хотя была перед русским) Что делать и до какого числа ждать оценки экзамена?
5229,Подскажите пожалуйста а при загрузке справок если пишет что всё сохранено но потом я не вижу своих справок в разделе справки это нормально?
5230,Что делать ел ли приоритеты на госуслугах поменял а на сайте вуза они не поменялись?(менял дня 4 назад)
5231,такой вопросна строительство какой корпус?
5232,То есть в сентябре нельзя будет в кпк заселиться?
5233,Добрый день  Где вообще на сайте находится бланк для аппеляции (по вступительным на Графику)? Всё уже прошерстила и не могу найти
5234,Подскажите со скольки до скольки документы подавать? Все факультеты на Семёновской подаются? Нужно ли с фотографииями 3x4 приходить?
5235,"Если справки выданы частной клиникой/лабораторией то в графе ""кем выдано"" нужно будет написать просто название этой клиники?"
5236,А где именно его можно будет увидеть? В каком разделе
5237,Здравствуйте есть у кого информация какие документы нужно с собой взять в вуз в приемную комиссию если я планирую уже подавать оригиналы и участвовать в конкурсе?
5238,Подскажите пожалуйста комнаты КПК есть в каких общежитиях? В 1  еще в каких?
5239,Здравствуйте есть у кого информация какие документы нужно с собой взять в вуз в приемную комиссию если я планирую уже подавать оригиналы и участвовать в конкурсе?
5240,Как долго ждать проверки справок модератором?
5241,А если через сайт московского политеха подавала то тоже через госуслуги надо?
5242,Здравствуйте подскажите пожалуйста как и где мне лучше поменять приоритеты направлений? Я же правильно понимаю что до 25 июля это ещё можно поменять?
5243,Добрый день не подскажете пожалуйста когда и куда нужно прикреплять справки для заселения в общежитие и как проходит распределение? И есть ли выбор общаг?
5244,То есть сильно ли расположение корпусов влияет на мой выбор общаги? Я просто так смотрю от всех кроме 3-й добираться около часа  Учебные корпуса же располагаются ещё по разные стороны города 😔
5245,А занятия факультета Рекламы и … в каком корпусе?
5246,Как узнать где и в каком корпусе будут проходить занятия по направлению информационной безопасности (спец)? Пишет на сайте что на Автозаводской но может что-то изменилось
5247,А те у кого сейчас приоритет 1 могут в итоге в другой вуз поступить?
5248,У кого-нибудь есть список олимпиад которые признает политех для бви? Не смог на сайте найти
5249,А если узнать на счет места в конкурсных списках надо надо?
5250,Кто-нибудь знает оригиналы завтра можно будет привезти? Если да то куда везти?
5251,Что с расставлением общежитий? Писали вроде что с 22 по 25 а у меня в ЛК ничего нет( У кого-нибудь есть?
5252,"Добрый день Во вступительных испытаниях сказано что несколько экзаменов (в моём случае 4 экзамена) будут происходить дистанционно в одно и то же время  Это примерное время и его потом ""отредактируют""?  Или должен ли я как-то сам отредактировать его (во вкладке ничего не менялось модератор уже принял заявление и отправил в обр орг)? Я надеюсь что не придется сразу 4 экзамена сдавать"
5253,Выбор приоритета для общежитий откроется после прикрепления всех справок?
5254,Студенческий Подскажите пожалуйста в 8-ое общежитие заселяют бакалавров или нет смысла указывать её в приоритетах?
5255,https//lkmospolytechru/user/sign-in/login?_referrer=%2Fsite%2Findex
5256,Здравствуйте а как как справки добавлять?
5257,Про соц степендию можно на сайте вуза тоже узнать?
5258,Добрый день В перечне документов на заселение в общежитие просят прикрепить разворот паспорта с пропиской но в заявлении у меня отображается только загрузка справок Куда загрузить скан прописки?
5259,Есть ли повышенная стипендия для обладателей больших баллов при поступлении?
5260,Объясните пожалуйста подавали документы через госуслуги что ещё надо личный кабинет дополнительно в вузе создавать?
5261,Ребят а кто идет на апелляцию по журналистике ?
5262,Здесь есть люди со снилсами 173-011-875 37 и 164-785-014 92? Вы заберёте документы или будете в Политех поступать?
5263,Без записи? Просто там везде с 25 где я смотрела
5264,Вы уже сдавали анализ на вич/рв?
5265,А дерматовенеролога где можно пройти чтобы сегодня записаться а завтра получить справку?
5266,25- ого ещё можно загружать? ВИЧ делается как минимум 2 дня
5267,А если делал в платной анализ крови и там стоит только печать медучреждения?
5268,Точно участвуете в конкурсе написано?
5269,Ребят а у кого было апелляция уже ?
5270,Есть список олимпиад которые признает политех для поступления по бви? Мне из мтуси позвонили сказали что я выиграл в 7 классе что-то и могу поступить по бви Это чисто их прикол?
5271,А почему решили подавать документы очно? Намного же проще дистанционно
5272,Так а что там решать? Сдали анализы отправили результаты да и все
5273,если вовремя не добавить справки для заселения в общежитие то что будет?
5274,Ну выбор даты заселения зависит же ?
5275,Может быть такое что обгрызенное потому что в задании было не Ё а Е?
5276,Это две формы? Нам учитель объяснял инспекторы
5277,Можно как-то реабилитироваться?
5278,А с какой ошибкой вы столкнулись?
5279,здравствуйтев какие дни и в какое время  можно приехать в университет для подачи документов на целевое обучение?
5280,Здравствуйте можно ли в субботу приехать очно подать документы получить квитанцию об оплате обучения 27 июля приемная  комиссия работает в полном составе? договорной отдел
5281,Доброго утра Как проводить загрузку справок если подавал заявление на поступление через Госуслуги? (Личного кабинета нет)
5282,Надо принести оригинал аттестата и ждать зачисления?
5283,Как понять по рейтингу что ты поступил?
5284,а прививочный сертификат это детские прививки или вакцинация короны или все вместе?
5285,Почему выяснилось если на сайте есть информация о том что для заселения необходимы справки? 🧐
5286,это для всех ведь? а третья волна же позднее
5287,Нескромный вопрос — а что за справки? Впервые слышу будто бы 👀
5288,всем привет подскажите-для общаги можно собирать разрозненные справки? и не поздно ли еще 🥹
5289,А что делать если сессия не найдена при выборе вступительного экзамена?
5290,Рейтинг каждый час обновляется?
5291,Студенческий со скольки будет доступен выбор общежитий?
5292,с какого часу доступно выбор общежития?
5293,Добрый день нужно ли прививочный сертификат полностью сканить даже с пустыми страницами? Или только заполненных хватит?
5294,Даже если нет в этом рейтинге? Или как это работает
5295,Доброе утро Подскажите пожалуйста при личной подаче документов нужны ли ксерокопии?
5296,У вас определился высший приоритет и реальный рейтинг?
5297,Можете пожалуйста подсказать почему в общем конкурсе есть мой СНИЛС а как только выбираю фильтр скрыть абитуриентов без оригинала то там меня нет (хотя подавала оригинал)?
5298,Пока еще нет возможности выбирать общаги?
5299,Подскажите а транспортный и промышленный дизайн потом делится на группы транспортный и отдельно промышленный? С какого курса если да?
5300,Ребята сегодня в 10 открывается экз по матеше Есть еще резервные даты? Если да то как записаться на другой день?
5301,со скольки студ городок на связи?
5302,А что за справка о наличии прививок Есть много страниц по разным прививкам надо все подгружать? Или только какие-то определенные прививки?
5303,Номер и серия справки на вич и рв это что вообще?
5304,Ребята я загрузила справки по одной они не отображаются в ЛК (в одной из плажек написано что это норм) теперь нужно просто ждать когда откроется возможность выбрать общагу?
5305,Доброе утро Подскажите пожалуйста при личной подаче документов нужны ли ксерокопии?
5306,Я ведь правильно понимаю что мне у дерматовенеролога делать нечего пока результаты на ВИЧ и RW не придут?
5307,Всем привет👋 кто подскажет после того как я получу результаты на ВИЧ и пойду в кожно-венерологический диспансер мне потом дерматовенеролог сразу же даст все нужные справки или же мне нужно ещё что-то будет сдавать у него?
5308,Ребята кто после СПО вы выбирали здесь прикладная математика и информационные технологии или обычную математику и информатику и икт? Не понимаю почему я принадлежу к группе обычных предметов есть разница что выбирать?
5309,До какого числа можно подать документы на общежитие?
5310,Товарищи доброго дня вам Поступал в Московский Политех через Госуслуги по результатам ЕГЭ из 2021-ого и 2024-ого годов (пересдавал нынче математику) нашел себя в списках а там стоят баллы только за информатику Вот сижу на трехтысячных местах в конкурсе и не понимаю мне что-то стоит делать или просто ждать Есть варианты почему такое могло произойти?  При подаче заявления в Госуслугах на стадии выбора документов с которыми сдавал ЕГЭ я указал оба паспорта и от 2021-ого года и от 2024-ого
5311,Нужна ли ещё справка от врача инфекциониста в дополнение к тому списку документов для общаги?
5312,Здравствуйте Подскажите пожалуйста записана на 22 и 23 на вступительные испытания очно Можно ли просто зайти сдать дистанционно или обязательно нужно писать на почту с просьбой изменить формат экзамена? Доступ к СДО есть
5313,А как войти в лк если я через госуслуги подавала заявление? Надо регистрироваться?
5314,А переводится насколько сложно?
5315,С 245 баллами реально поступить на 090303 или 090302?
5316,А подскажите куда прикреплять фото паспорта 🤪?
5317,А где посмотреть расписание апелляций ?
5318,А в общагу возможно будет животное взять?🥲
5319,А где посмотреть баллы за ИД за что даются? Прошу прощения не могу на сайте найти
5320,Если я подал документы на общежитие в личном кабинете и случайно не то фото для одного документа прикрепил и сохранил всё то мне надо заново все загрузить или можно только тот который неверно?
5321,а доб это типа смена последних четырех цифр в номере да ведь?🤪
5322,А если мед справки не примут то как они уведомят по эл почте?
5323,Подскажите если сертификат прививок- это просто выписка без серии  без печати то как его прикрепить в личный кабинет и примут ли его?
5324,Подскажите пожалуйста на платку можно подавать доки до какого числа? до 25 это ведь про бюджет да? а платка? оригиналы в смысле*
5325,Во сколько завтра начнется выбор общаг ? И во сколько начнется выбор даты заселения ?
5326,Здравствуйте  Завтра резервный день для экзамена Информатики и ИКТ?
5327,Подскажите пожалуйста сертификат Мат вертикали даёт дополнительный балл? Спасибо
5328,Если не трудно подскажите какие именно справки? Достаточно 086у?
