,text
110,так если не успела записаться то в чем состоит вопрос?
111,Здравствуйте Меня зовут Шипилина Ксения Игоревна я студентка 5 курса на специальности Графика (группа 201-811)  С первого курса всегда работала на стратегическом проекте Университетская среда очень хотела и в этом году на него попасть   В день выбора проекта для моего факультета мест на этом проекте уже нет Подскажите можете ли вы меня добавить на этот проект? Куратор Андронова Светлана поддерживает мое желание быть на этом проекте   с уважением Шипилина Ксения Игоревна   (написала на почту цпд но здесь тоже продублирую на всякий случай)
112,А на наши сообщения кто-то реагировать будет?
113,А как его насильно распределяют если уже есть приглашение?
114,А если группа ПД хочет сохранить исходный состав с тем с кем уже она год/два работает и каждый человек знает свою роль уже? Если преподаватель высылает приглашение и человек САМ там хочет остаться а его распределяют на какой-то совершенно другой проект — это тИпА тоже норм да?
115,Выбор из серии быть съеденным или стать чьим-то обедом?
116,есть ли смысл заполнять форму тех поддержки в таком случае? у меня написано «художник-график» а в проекте нужны аниматоры это же просто формальность 😭 Иванова Ирина Александровна 231-813
117,Добрый день подскажите пожалуйста должно ли было прийти какое-то сообщение после прохождения анкетирования на приоритетный проект?
118,"Здравствуйте Институт графики и искусства книги имени ВА Фаворского завтра будет выбирать проекты Хочу уточнить как влияет указанная в личном кабинете специальность Мы только закончили 2 курс и никакого разделения на ""художников анимации и компьютерной графики"" и ""художников-графиков"" ещё у нас не было Но у одних студентов в личном кабинете уже указана одна специальность а у других другая (случайным образом) Программа общая так что это пока просто формальность Это будет влиять на выбор проекта?"
119,"Здравствуйте беспокоит студентка группы 221-371 Позднякова Дарья Дмитриевна По некоторым обстоятельствам не успела записаться на какой-либо проект  Можно ли как-то выбрать ещё проект ?  У меня рейтинг две звезды и хотелось бы записаться на тот же проект что и был а именно ""Цифровой университет""("
120,Подскажите пожалуйста как можно решить проблему? Куратор проекта отправил личную заявку как Тим Лиду но у меня в личном кабинете ничего не отображается а сам проект не высвечивается в графе выбора (куратор Фролова Наталья Николаевна проект «Ребрейдинг сайта и логотипа компании «Новая заря»)
121,Ты видимо свечку держал? Нет приятель игровая индустрия собирает в себе проекты инициаторов в один и набор на них общий -- исит и ещё какие-то кодеры Все мои квоты остались за бортом Ты реально что ли думал что вот все ноют тут на игровую индустрию потому что дураки и не выбрали квоты а ты один умный?) 🤦
122,@Ivan_Petukhov_1 можно как-то с вами как инициатору обсудить проекты игровой индустрии? То что цпд устроил в этом году это просто саботаж
123,"Здравствуйте вчера была запись на проекты для машиностроителей У меня не было возможности выбрать свой проект ""артлаб"" Я заполнила форму в поддержку но никакой реакции не получила Как попасть на свой проект?"
124,Добрый день вчера был выбор проектов для ФИТа однако среди них не было и половины зарегестрированных проектов страница сбоила большинство студентов моей группы находятся вне города с нестабильным интернетом сегодня выяснилось что выбор за всех сделан системой и нельзя что-то изменить к кому можно обратиться?
125,@Ivan_Petukhov_1 как быть? Я защищал 5 подпроектов а теперь не могу попасть на проект в котором есть продуктовый результат который нужно доделать?
126,Ахахаххаа отлично а какой смысл тогда что-то делать? Мы уже доделываем продуктовый результат смысла в новом пд для меня нет так как осталось полгода нужно этот проект закончить…
127,Добрый день Я так понимаю уже поздно что-то узнавать?🥲
128,Как выбрать свой проект который был в прошлом году?
129,"Здравствуйте Для ""выбора"" предоставлен всего 1 проект это как понимать?😅 И так почти у всей моей группы 211-431"
130,Здравствуйте  У меня тут кнопка на приглашении «соглашаюсь» не работает  подскажите пожалуйста что мне делать?
131,Да и вообще какой-то идиотизм Даже если направление подготовки у меня не связанно с играми У меня АСОИУ Почему я не могу взять игровой проект для ПД? Это может быть высоконагруженная система с кучей элементов для программирования которые могут мне понадобиться в будущм Зачем ограничивать выбор студентов только тем что вы решили будет правильно?
132,А как куратор может пригласить студента на продолжение работы в проекте?
133,Здравствуйте Если проект изначально был в списке но при этом горел серым и выбрать его нельзя было то нужно обратиться через форму тех проблем или почему был недоступен выбор проекта сразу?
134,Из трёх проектов серьёзно?) с учётом того что регистрация идёт только час
135,Здравствуйте почему я не могу записаться на другие проекты? Оправдывать это тем что у меня другое направление не надо в том году почему-то такого не было То что каждый год меняется принцип записи на проекты уже всех достало Я думал смысл пд в получении дополнительного образования и навыков а не в том чтобы каждый год ходить на разные проекты и ничего не уметь в итоге ибо за год можно получить только начальные навыки Делайте что хотите но если к началу семестра я не запишусь на нужный мне проект я гарантирую незабываемый опыт работы и общения Надеюсь что вы войдёте в положение и каждый студент получит право выбора проекта который ему интересен а не выбор без выбора
136,Добрый день Для записи доступно всего ТРИ проекта среди нет желаемого (на котором я был в прошлом семестре) мои действия?
137,Здравствуйте… у меня один вопрос… где группа проектов игровой индустрии? Я понимаю что факультет у меня Полиграфии Но с моей специальностью подготовки а именно «Дизайн и конструирование рекламных и арт-объектов» я могу быть и рекламщиком и художником… а так же делаю не плохие 3д модели  И вишенка… все что я перечислила запрашивали
138,"У меня был проект по схожей тематике с ""Электрохимическим биосенсором на основе наносатериалов для мониторинга уровня дофамина в организме человека"" Поэтому я хочу на него но его нет в доступных для выбора К кому вообще обращаться? Никаких форм как в прошлом году нет"
139,Где сообщения сверху на который я ссылался? Удалили?  Да но уже 3 год подряд мне приходится выяснять почему ошибка Это же не мелочь Это проект на целый учебный год Лучше доделать до нормального чем каждый раз новые недоделки предлагать и на нас экспериментировать
140,"Добрый день Скажите пожалуйста есть ли возможность записаться на проект ""Электрохимический биосенсор на основе наноматериалов для мониторинга уровня дофамина в организме человека"" или ""Спектральный анализ биожидкостей методами машинного обучения для диагностики онкологических заболеваний""? Их нет в списке доступных проектов для ХимБиотеха хотя они очевидно подходят для этого направления"
141,Есть ли чатик проекта ГрафКомикс?
142,Здравствуйте А можно записаться на проектне из предложенных? Как в прошлом году  мы говорим названиевы записываете Хочется к конкретному преподавателю
143,Как записаться на свой проект в котором была в прошлом семестре если его нет в списке?
144,Вот сейчас например когда я представляю в каком направлении должен развиваться наш дальнейший проект я не могу работать с теми студентами которые мне нужны Потому что заявление было создано в марте и я не могу его даже посмотреть и перепроверить Почему бы не устроить проверку квот на проект одновременно с проверкой приглашений? Не сочтите за грубость просто я пытаюсь предложить вариант решения одной из проблем которая может возникнуть у каждого студента
145,Мы не обязаны отдыхать летом в обязательном порядке как же тогда работают предложение Политеха работать летом на приемной комиссии? В таком случае наш отдых тоже нарушается Все равно заставить тех кто откажется работать над проектом летом у нас не получится они просто нас игнорировать будут
146,Какие именно требования? Требования насчет нашего отдыха или насчет данных о тех кто зарегестрировался на проект? Зачем тогда регистрация проходит летом а не в начале учебного года? Мы не требуем организации со стороны ЦПД нам не нужно дергать кураторов наших с отпусков с ними работать будем с учебного года нам все что нужно — это список людей фамилия имя и группа это не разглашение личных данных потому что на их обработку студенты при поступлении дают согласие
147,А если например есть проект в котором есть оставшиеся с прошлого семестра участники которые хотят начать работу уже сейчас? У нас проект строго привязан к дедлайнам серийное производство В таком случае вуз и цпд ограничивают наше право на реализацию этого проекта Мы хотим им заниматься хотим принести прибыль заказчику хотим проект сделать не просто работающим на словах каким получается большинство проектов мы хотим предоставить работающий продукт и продолжить работать с ним и после окончания его существования в витрине проектов Я как тимлид хочу уже сейчас собрать людей зарегестрировавшихся на наш проект чтоб мы могли заниматься им уже сейчас и уложились во все сроки чтоб попробовать получить удовольствие от этого проекта и чтоб банально не было такого что осенью пришли новые студенты не понимающие в нашем проекте ничего а «старички» пытались что-то им в срочном порядке объяснить Тогда начнется расслоение команды по КПД начнутся разногласия загубится хороший проект Очень бы хотелось узнать список зарегестрировавшихся в ближайшее время после финала регистрации Тем более что регистрацию устроили летом а не в начале учебного года
148,Подскажите пожалуйста инициаторы проектов смогут получить списки зарегистрировавшихся на проект после окончания регистрации?
149,Если я оставлю заявку и выберу сейчас проекты которые мне доступны меня смогут переписать на проект по которому оставил я заявку? Или за мной уже будет закреплен тот который я выбрал?
150,Добрый день Могу ли я как-то  узнать о статусе своей заявки?
151,Добрый день Была вот такая проблема Подскажите есть ли сейчас возможность остаться в игровом проекте Synthadry? И будут ли открываться дополнительные места в проектах?
152,Добрый день а есть ли возможность поменять квоты у проекта? Например изменить направление или количество необходимых мест?
153,"Здравствуйте Я Косарева Светлана Александровна группа 231-3211 Я очень хочу попасть на проект Артбук ""Чувства"" который у меня в лк не высвечивается по причине того что на мое направление нет квоты но попробовать себя в творческой сфере мечтаю уже 2 семестра и проектная деятельность мне смогла бы предоставить такую возможность можете ли вы помочь мне записаться на проект?"
154,Здравствуйте А куда должно прийти приглашение? В лк отобразится где-то?
155,фио и группа ваши? приглашения подгружаются постепенно кому-то могли раньше уйти
156,"Добрый день группа 211-327 нет проектов ""Внутренней лаборатории"" Конкретно хотел подать на ""Разработка сервисов для профсоюзной организации"" этот проект относится к проектам внутренней лаборатории но нет ни того ни другого Однако проект был продлен что делать? Спасибо"
157,Ну вот а нет информации почему?(((
158,"Доброе утро А есть какая-то причина почему в этом году не стали продлевать ""Лабораторию BigData""? А то ну очень грустно выходит"
159,Добрый день ИСИТ же проходит регистрацию сегодня?
160,Здравствуйте если я записался на группу проектов меня на случайный проект из этой группы закинет или я должен сам выбрать?
161,"здравствуйте хотела пойти на проект ""Сайт психологической помощи Московского Политеха"" но в личном кабинете он подсвечивается мне серым и выбрать я его не могу это означает что мест на него не осталось? или мне необходимо просто заполнить форму тех проблем?"
162,Доброе утро Теоретически в этом году возможно принудительное изменение проекта после успешной записи в ЛК? В прошлом году меня трижды перекидывало с проекта на проект
163,То есть люди переходящие с первого курса истита которым поставили всем асоиу но они геймдев со следующего года всего 7 мест? печально
164,"Почему я не могу выбрать проект ""Группа проектов игровой индустрии""?"
165,Добрый день у группы 211-7212 не открылась регистрация на проекты хотя мы относимся к фит и инициаторам проектов тоже не пришли ссылки-приглашения в них  Не подскажете что можно сделать?
166,То есть 7 мест на направление геймдев — это потому что в моем лк я все ещё на асоуи? Хотя нахожусь в списках экселевских на геймдев
167,Попробуйте по этой ссылке - https//emospolytechru/old/indexphp?p=projects
168,А почему я не могу в игровую индустрию?((((
169,И мне теперь выбрать из оставшихся а не из всего что есть? Или как-то через форму модно выбрать
170,"Добрый день 4 курс направления ""информационные и автоматизированные системы обработки информации и управления"" Мы относимся к фит но сейчас у нас нет выбора проектной деятельности Когда нам выбирать проект?"
171,"Выбор проектов открыт на странице ""Проектная деятельность"" из левого меню - https//emospolytechru/old/indexphp?p=projects  С витрины проектов ссылка ведёт на неправильный раздел - https//emospolytechru/old/indexphp?p=proj_main"
172,"Здравствуйте а в этом году нет проекта ""Лаборатория BigData""? Я всегда была на этом проекте и мне не пришло приглашение остаться и в списке этого проекта нет"
173,3 курс исита у кого-то выбор открылся?
174,Добрый вечер Что делать если пропала возможность подтвердить продолжение нахождения в проекте?
175,Есть ли возможность это исправить?
176,Здравствуйте я вчера выбрал проект случайно могу ли изменять проект?
177,Добрый день Подскажите случайно выбрала стратегический проект но заранее анкетирование и тп не проходила можно ли как-то обнулить(?) или же потом просто уберут с проекта и закинут на рандомный другой?
178,Добрый день подскажите пожалуйста к какой категории относится проект Polytech Contest? Куратор сказал что он допущен к реализации но на витрине найти не могу
179,Здравствуйте как можно это исправить?  Выбрал проект Исследование свойств пластиков для 3D-печати
180,"В описании того ПД на который хочу есть мое направление (там вроде всё есть) А в списке его нет Через витрину тоже не получается написано ""данный сервис недоступен для вашей учётной записи"" Я могу на этот проект попасть как-то?"
181,Здравствуйте Есть ли возможность студенту из машиностроения попасть на проект из мультимедиа? Или регистрация на него будет не сегодня?
182,"Здравствуйте Подскажите есть ли возможность записи на проект ""SMART"" для направления Стандартизация и метрология?"
183,Утро доброе Можно уточнить что значит запрошенное направление?  Если есть желалние попасть на проект другого факультета  то проект возможно выбрать в день выбора того самого направления (например я транспортный факультет а попасть хочу в ИТ поэтому выбираю в день выбора ИТ?)
184,Добрый день кому нужна обратиться по темам проектной деятельности?
185,Здравствуйте Любые студенты имеют право записываться на проекты любого направления и тематики вне зависимости от того на кого учишься?
186,Здравствуйте А на сколько выбирается проект?
187,Подскажите по какой причине у меня как у дизайнера даже нет возможности записаться на проект связанный непосредственно с дизайном?) Что за абсурд в этом году
188,Здравствуйте можете подсказать может ли у проекта смениться куратор?
189,Добрый день уважаемые работники ЦПД почему художник анимации и компьютерной графики не может записаться ни на один игровой проект?
190,Почему я художник анимации и компьютерной графики не могу записаться ни на один игровой проект?
191,Добрый день если при выборе проекта на витрине по фильтру отображается проект но там указано смежное направление по моей кафедре Я смогу на на него записаться?
192,А если не запрашивались квоты то никак не записаться?
193,Добрый день как я с транспортного факультета могу записаться на стратегический проект?
194,Никакой формы по желаниям на проекты не будет? Других выходов нет?
195,Неужели я как 3D художник не могу даже в группу проектов игровой индустрии попасть? Остается только 8 проектов на выбор где ни один не интересен
196,Теперь мне остается только выбирать из тех что в лк висят?
197,Здравствуйте я был в списке чтобы остаться на проекте но сейчас у меня висит выбор проектов а приглашения нет что делать? Шин Даниил Леонидович BizzareTV
198,А как инициатор проекта я могу как-то влиять на отбор людей? Как вообще это происходит в игровой индустрии если я сам свой профиль из группы ещё не выбрал?
199,Теперь вы проект этот не видите?
200,Я смотрел на станцию для электромобилей там мест не осталось или это приоритетный проект??
201,Здравствуйте хотел узнать что за проект Тест 2024-2025?
202,Как инициатор проекта я могу пригласить туда людей? В группе проектов игровой индустрии
203,Благодарю за ответ    Есть информация по поводу изменения длительности работы над проектом на учебный год за место семестра    Известно что проект после периода записи никак нельзя изменить   Из этого следует что в случае перевода на другой факультет также совершенно невозможно это сделать    Насчёт упомянутого проекта «CharacterCanvas» была информация что можно предоставить портфолио на рассмотрение    Можете пожалуйста дать информацию по поводу того к кому обратиться по данному вопросу?
204,А выбор из 5 проектов это нормально? (Рейтинг две звезды)
205,"А из проекта ""механическая рейка рулевого управления для автомобилей «ЛАДА ВЕСТА»""????????"
206,Добрый день есть кто-то из проекта MiniBoatMoscow?
207,А можно узнать почему? Список был отправлен в списке точно был (уточнял у куратора) приглашение не пришло
208,Отсутствие приглашения не будет считаться технической проблемой?
209,И ещё такой вопрос если списки были поданы (как писали выше) точно есть в этих списках на продолжение проекта но приглашение не пришло то выбираем из имеющихся? Очень досадно что нельзя продолжить проект к которому уже привыкли( Не будет ли никакой формы для каких-то ошибок и прочего как например в прошлый раз?
210,Здравствуйте если сегодня студенты ТФ не выберут проект их распределит случайным образом или же у них есть время до окончания записи всех факультетов?
211,Здравствуйте Приглашение в лк должно прийти или на почту?
212,это получается все доступные проекты?
213,Здравствуйте Если нет записи на проект по транспортному направлению но в витрине он есть что делать?
214,"Здравствуйте уважаемый ЦПД Можно как-то связаться с куратором проекта ""Сайт для запоминания формул""?"
215,Здравствуйте уважаемый ЦПД У меня одобрили анкету на приоритетный проект когда в моëм лк появится приглашение на запись туда?
216,Это как? Его же кто-то подал Мы сейчас про какие заявки говорим? Заявки были на приоритетные проекты инициаторы этих проектов видели анкеты студентов и принимали решение
217,А если у проекта нет инициатора?
218,Добрый день как будет выглядеть приглашение и где его ожидать?
219,Добрый день По какому принципу происходит отбор и одобрение/отказ заявок? Если всё равно хочешь именно на этот проект то что сделать для этого? Почему решение о том с какими навыками и знаниями нужен человек на проект принимает администратор ЦПД а не руководитель конкретного проекта? Ему же с точки зрения логики было бы виднее кто необходим на данный этап жизни проекта
220,Здравствуйте могу ещё записаться на свой проект я в нём уже состою и наш староста как я понял подавал списки участников нужно ли записываться как то дополнительно?
221,Здравствуйте вопрос по анкетированию для приоритетных проектов каким образом происходит одобрение на регистрацию в приоритетные проекты если мне как активному участнику с первых семестров приоритетного проекта не одобрили регистрацию на эти самые приоритетные проекты ?
222,"Здравствуйте Тут есть кто-нибудь с проекта ""Книга будущего""? Хочу задать пару вопросов🙏"
223,Окей можете порекомендовать какой нибудь нормальный ит проект с продуктовым результатом не из приоритетных? Просто не хочется опять весь семестр ерундой заниматься
224,Здравствуйте а можно еще как то анкету на приоритетные проекты пройти? Открыл ее вчера прошел но не был уверен в том что хочу именно на тот проект поэтому не нажал кнопку отправить и оставил открытой в браузере а сегодня уже оказывается закрыта
225,"Добрый день Почему у меня в личном кабинете пишет ""Запись на проекты окончена Проект не выбран Вы будете распределены автоматически на вакантные места"" ? На почту мне вчера пришло сообщение  ""Добрый день Вашу анкету на проект "" Автономное управление универсальными транспортными платформами"" одобрили в личном кабинете появится возможность записаться на выбранный проект   С уважением Центр проектной деятельности"" Так когда эта возможность появиться? Не совсем понял"
226,здравствуйте  запись на проекты по моему факультету еще не стартовала но в ЛК висит сообщение что запись окончена Это баг?
227,Добрый день Куратор проекта отослал списки с ФИО студентов которые хотят остаться в проекте на следующий семестр  Когда примерно придет в лк письмо с приглашением в проект или нас уже автоматически записали на проект ?
228,а если это стратегический проект был?
229,добрый день если я хочу остаться на прошлом проекте то что делать в день выбора?
230,Здравствуйте а где найти форму на приоритетные проекты?
231,Здравствуйте Работает ли сегодня ЦПД?
232,"Здравствуйте Тут есть кто-нибудь кто был на проекте ""Кинокуб""?  Хочу задать несколько вопросов🙏"
233,Добрый день вчера хотел заполнить форму на приоритетный проект и столкнулся с тем что один из проектов там отсутствует хотя на сайте написано что он приоритетный как мне его выбрать?
234,если я не успею  и всё места будут заняты это понятно да но как может быть так что проект по моему профилю обучения и будет недоступен? для чего тогда фильтр по направлениям на витрине проектов?
235,вот в этом и проблема как раз  мне понравился проект  но где гарантия что он будет доступен?( хотя направление моё
236,Добрый день Хотела уточнить я правильно понимаю что так как сейчас запись идёт по факультетам то в день записи должны открыться все проекты которые на витрине показываются если выбирать именно мой профиль? Я смотрела по моему направлению мне подходит 52 проекта Они все будут открыты?
237,Здравствуйте Правильно ли я понял что на группу внутренних проектов я уже попасть не смогу? Я был на подпроекте Наставничество ИКТ и сети Сейчас я на него попасть не смогу? Очень непонятно всё это А если куратор скинул список людей которые будут на проекте и я там есть то тогда как чего Просто не дёргаться и само всё назначится?
238,Всем привет  Кто был на проекте «подкаст про психологию» отпишитесь пожалуйста или можете дать номер куратора ?
239,Добрый вечер Меня заинтересовал проект «Онлайн-комикс хроники Эрии» Можете пожалуйста дать контакты куратора этого проекта? Заранее спасибо
240,"Здравствуйте подскажите пожалуйста есть ли контакты людей кто занимается приорететным проектом ""Гибкая автоматическая линия изготовления фильтрующих элементов из ППР""? Хотелось бы связаться с ними"
241,Здравствуйте Подскажите пожалуйста теперь как я понимаю выбор проекта будет по факультетам и профилю твоего обученения? Какие в витрине проекта у проекта написан профиль обучения тем и будут доступен данный проект? Заранее - спасибо за ответ
242,что это значит? У меня две звезды а я не могу зарегистрироваться в проекте и как попасть на собеседование если нет возможности записаться?
243,"добрый день есть тут ребята с ВН ""не бойся""? интересно задать несколько вопросов просто содержимое видеовизитки не соответствует описанию)"
244,А научные проекты так же откроются со всеми и не требуют звезд?
245,Это значит мне не выставили баллы тк даже 0 не пишет Что делать в таком случае?
246,Здравствуйте Я немного запутался - в витрине Стратегические проекты указаны как приоритетные но в форме анкетирования я не нахожу нужного мне направления В частности на «Стратегический проект Сувенирная продукция» запись проходит по анкетированию или откроется с остальными проектами?
247,"Смотрю а может так получится что у меня только баллы а рейтинга нет? Что то не могу найти где он написан только баллы есть В вкладке ""Проектная деятельность"" смотрю старой версии лк"
248,Спасибо может быть если знаете подскажите где именно в новой версии лк можно рейтинг посмотреть?
249,Добрый день в лк написанно про какой то рейтинг студентов 10 июля в 1400 регистрация будет открыта студентам с рейтингом 2** 12 июля с 1400 регистрация будет открыта студентам с рейтингом 2** и 1* 14 июля с 1400 регистрация будет открыта всем студентам 16 июля в 2359 регистрация завершится  Где можно посмотреть какой у меня рейтинг?
250,Здравствуйте Я первом семестра выбрал проект Создание и развития музейно выставочных площадок я хотел продолжить этот проект надо ли мне куда-то зайти заново выбрать ? Или уже у меня выбрано?
251,"Здравствуйте Подскажите а к какому направлению относится проект ""ГолоАрт Голограммы как новое измерение в искусстве""?"
252,Доброе утро как зарегистрироваться на стратегический проект если в форме можно выбрать только приоритетные?
253,Спасибо а не подскажете где можно заполнить эту форму? Не могу найти
254,Здравствуйте Когда примерно с руководителями проектов свяжутся? А то есть вопросы по поводу просмотра анкет собеседования и людей в команде
